日期 开盘 收盘 涨跌额 涨跌幅 最低 最高 成交量(手) 成交金额(万) 换手率
2019-06-14 911.00 913.00 3.00 0.33% 910.02 932.30 42455 390567.91 0.34%
2019-06-13 910.00 910.00 3.30 0.36% 897.00 912.30 32917 298474.16 0.26%
2019-06-12 906.22 906.70 -4.19 -0.46% 894.00 910.99 37747 342089.94 0.30%
2019-06-11 876.00 910.89 39.81 4.57% 875.00 915.61 80106 720908.69 0.64%
2019-06-10 857.98 871.08 8.95 1.04% 840.00 878.95 55502 479005.25 0.44%
2019-06-06 875.62 862.13 -9.47 -1.09% 858.00 875.77 34787 300956.78 0.28%
2019-06-05 884.00 871.60 -3.70 -0.42% 870.00 886.26 34067 298811.47 0.27%
2019-06-04 895.00 875.30 -16.70 -1.87% 871.00 895.43 39689 348138.41 0.32%
2019-06-03 892.00 892.00 2.00 0.22% 886.28 901.35 34479 307692.25 0.27%
2019-05-31 900.53 890.00 -15.30 -1.69% 890.00 906.99 35794 321138.47 0.28%
2019-05-30 910.00 905.30 -6.61 -0.72% 891.22 919.99 40247 363418.78 0.32%
2019-05-29 888.01 911.91 23.91 2.69% 888.01 924.95 65647 596375.56 0.52%
2019-05-28 877.99 888.00 9.00 1.02% 875.02 907.49 74773 667085.62 0.60%
2019-05-27 879.10 879.00 0.50 0.06% 860.05 882.99 39162 341721.38 0.31%
2019-05-24 865.00 878.50 17.50 2.03% 864.44 885.00 44034 385896.22 0.35%
2019-05-23 881.00 861.00 -27.00 -3.04% 856.22 883.98 58059 506281.22 0.46%
